Date,Open,High,Low,Close,Adj Close,Volume
2019-10-27,1126.000000,1126.000000,1105.400024,1112.150024,1080.918945,1406
2019-10-29,1091.000000,1155.000000,1072.000000,1147.300049,1115.081909,28481
2019-10-30,1152.900024,1188.650024,1130.900024,1156.000000,1123.537598,28868
2019-10-31,1166.150024,1167.500000,1128.949951,1139.300049,1107.306519,13346
2019-11-01,1149.000000,1164.199951,1138.000000,1144.050049,1111.923218,199499
2019-11-04,1135.300049,1149.750000,1134.000000,1138.199951,1106.237427,11768
2019-11-05,1139.699951,1150.650024,1128.199951,1139.300049,1107.306519,10080
2019-11-06,1138.349976,1152.500000,1131.750000,1139.849976,1107.841064,13424
2019-11-07,1150.000000,1182.300049,1139.699951,1151.800049,1119.455444,44007
2019-11-08,1155.000000,1158.099976,1111.099976,1115.949951,1084.612183,22312
2019-11-11,1115.400024,1146.599976,1113.099976,1121.250000,1089.763428,15130
2019-11-13,1121.800049,1151.849976,1121.449951,1130.400024,1098.656494,12587
2019-11-14,1123.099976,1140.550049,1113.150024,1137.500000,1105.557129,19295
2019-11-15,1140.000000,1146.599976,1124.000000,1128.199951,1096.518188,9658
2019-11-18,1133.500000,1136.099976,1122.949951,1125.599976,1093.991211,42449
2019-11-19,1127.000000,1130.050049,1118.000000,1126.650024,1095.011841,49945
2019-11-20,1128.000000,1137.000000,1120.699951,1126.300049,1094.671631,7160
2019-11-21,1150.000000,1150.000000,1120.949951,1129.449951,1097.733032,182461
2019-11-22,1130.000000,1146.599976,1121.400024,1141.550049,1109.493408,6880
2019-11-25,1145.050049,1155.300049,1138.150024,1145.800049,1113.624146,13778
2019-11-26,1149.199951,1154.000000,1106.000000,1112.250000,1081.016113,16985
2019-11-27,1119.300049,1147.000000,1119.300049,1136.900024,1104.973999,19219
2019-11-28,1134.000000,1158.449951,1129.800049,1145.150024,1112.992188,20062
2019-11-29,1145.449951,1149.699951,1115.199951,1127.150024,1095.497681,18707
2019-12-02,1129.000000,1130.000000,1092.000000,1096.599976,1065.805664,88802
2019-12-03,1110.000000,1110.000000,1075.550049,1090.699951,1060.071289,32635
2019-12-04,1084.550049,1108.949951,1075.699951,1087.500000,1056.961182,62053
2019-12-05,1094.900024,1123.500000,1094.900024,1108.000000,1076.885498,26841
2019-12-06,1107.150024,1108.699951,1069.400024,1071.449951,1041.361938,16905
2019-12-09,1072.349976,1104.400024,1061.550049,1093.349976,1062.646851,12584
2019-12-10,1080.000000,1089.400024,1068.800049,1073.400024,1043.257080,14035
2019-12-11,1076.400024,1085.500000,1064.099976,1078.000000,1047.727905,10925
2019-12-12,1089.900024,1109.000000,1087.150024,1099.750000,1068.867188,10636
2019-12-13,1105.000000,1119.000000,1100.800049,1104.800049,1073.775391,14710
2019-12-16,1104.800049,1112.800049,1097.800049,1100.900024,1069.984863,12083
2019-12-17,1082.000000,1108.099976,1069.000000,1093.599976,1062.889893,53526
2019-12-18,1091.550049,1127.150024,1086.650024,1117.150024,1085.778564,10331
2019-12-19,1117.000000,1136.000000,1114.699951,1132.250000,1100.454590,24382
2019-12-20,1128.000000,1189.349976,1123.550049,1181.449951,1148.272827,43602
2019-12-23,1180.000000,1183.500000,1158.099976,1162.949951,1130.292358,18152
2019-12-24,1165.000000,1165.000000,1148.699951,1155.250000,1122.808716,6724
2019-12-26,1150.349976,1167.099976,1150.349976,1156.349976,1123.877686,13530
2019-12-27,1162.099976,1169.050049,1152.000000,1164.699951,1131.993286,6521
2019-12-30,1173.900024,1176.000000,1157.900024,1162.050049,1129.417725,8856
2019-12-31,1165.000000,1176.550049,1155.599976,1171.500000,1138.602295,16986
2020-01-01,1173.599976,1176.699951,1140.900024,1142.400024,1110.319580,12414
2020-01-02,1145.849976,1163.300049,1145.050049,1159.550049,1126.988037,11547
2020-01-03,1160.000000,1167.750000,1152.000000,1159.800049,1127.230835,8840
