Date,Close,Volume
26-03-2019,669.599976,2434715
27-03-2019,660.049988,2426853
28-03-2019,655.950012,3910004
01-04-2019,660.900024,5458057
02-04-2019,668.599976,3802792
03-04-2019,658.450012,2745080
04-04-2019,653.349976,3684739
05-04-2019,658.200012,2694077
08-04-2019,667.0,3413270
09-04-2019,667.849976,2401571
10-04-2019,670.25,2499060
11-04-2019,672.75,4863931
12-04-2019,678.200012,3302657
15-04-2019,683.200012,2408677
16-04-2019,688.099976,3002929
18-04-2019,684.650024,2996875
22-04-2019,673.400024,1483513
23-04-2019,665.75,3248237
24-04-2019,668.150024,2247998
25-04-2019,665.150024,3169504
26-04-2019,659.450012,3632433
30-04-2019,645.299988,5042085
02-05-2019,645.900024,3007579
03-05-2019,645.799988,2330580
06-05-2019,638.5,1498420
07-05-2019,636.0,3160875
08-05-2019,621.650024,3853705
09-05-2019,625.450012,1366143
10-05-2019,628.75,2093110
13-05-2019,617.599976,1463136
14-05-2019,614.25,2756314
15-05-2019,609.650024,2805369
16-05-2019,605.25,1940170
17-05-2019,619.650024,2599966
20-05-2019,653.25,4938702
21-05-2019,639.150024,2150188
22-05-2019,640.549988,1458607
23-05-2019,639.5,3161573
24-05-2019,665.450012,3165620
27-05-2019,679.349976,2987573
28-05-2019,670.549988,5411769
29-05-2019,672.150024,5418102
30-05-2019,661.700012,5394745
31-05-2019,647.049988,4226041
03-06-2019,653.400024,4170532
04-06-2019,650.75,1640476
06-06-2019,634.099976,3846513
07-06-2019,644.049988,2173168
10-06-2019,646.950012,2306052
11-06-2019,636.849976,2274832
12-06-2019,632.200012,1734002
13-06-2019,641.049988,2141936
14-06-2019,637.25,1338649
17-06-2019,625.049988,2647789
18-06-2019,625.900024,2252507
19-06-2019,615.150024,2316163
20-06-2019,627.150024,2283701
21-06-2019,627.450012,2713987
24-06-2019,634.849976,2166403
25-06-2019,641.650024,3352119
26-06-2019,643.5,2124949
27-06-2019,657.900024,3744033
28-06-2019,655.349976,3503838
01-07-2019,660.0,3547891
02-07-2019,666.25,2275170
03-07-2019,669.25,2615478
04-07-2019,672.150024,1777421
05-07-2019,642.049988,3039710
08-07-2019,635.849976,3903971
09-07-2019,632.700012,1260744
10-07-2019,621.650024,2081711
11-07-2019,634.150024,1399434
12-07-2019,631.900024,1806912
15-07-2019,631.849976,2223638
16-07-2019,622.900024,3177195
17-07-2019,617.950012,1881478
18-07-2019,597.400024,4915489
19-07-2019,571.299988,6294798
22-07-2019,564.900024,4198301
23-07-2019,559.099976,4805198
24-07-2019,550.0,3041526
25-07-2019,547.549988,4763735
26-07-2019,564.450012,5063750
29-07-2019,553.150024,2984154
30-07-2019,548.75,3186153
31-07-2019,550.0,2986522
01-08-2019,548.549988,2737518
02-08-2019,556.450012,5848740
05-08-2019,545.450012,3152495
06-08-2019,549.450012,2811436
07-08-2019,518.299988,8411409
08-08-2019,539.549988,5648169
09-08-2019,545.549988,4313483
13-08-2019,512.400024,3618940
14-08-2019,523.549988,4641413
16-08-2019,527.849976,3120580
19-08-2019,520.549988,2998027
20-08-2019,527.799988,3175896
21-08-2019,520.900024,2709407
22-08-2019,511.799988,2516270
23-08-2019,533.25,2807785
26-08-2019,544.299988,4036331
27-08-2019,554.049988,4144339
28-08-2019,539.700012,3322911
29-08-2019,528.0,4399017
30-08-2019,528.799988,2929342
03-09-2019,515.450012,3379359
04-09-2019,505.700012,3431149
05-09-2019,517.0,2329699
06-09-2019,529.5,2670087
09-09-2019,532.549988,3061953
11-09-2019,545.75,3224627
12-09-2019,543.599976,3726538
13-09-2019,551.25,4358612
16-09-2019,536.950012,2441611
17-09-2019,521.950012,2445056
18-09-2019,527.0,2401637
19-09-2019,519.299988,2336366
20-09-2019,568.900024,14378491
23-09-2019,565.0,9599883
24-09-2019,558.75,3615703
25-09-2019,534.700012,5044376
26-09-2019,566.950012,6270296
27-09-2019,555.099976,4326078
30-09-2019,547.150024,3381186
01-10-2019,556.700012,5664019
03-10-2019,562.700012,3797753
04-10-2019,564.25,4653685
07-10-2019,552.950012,2367535
09-10-2019,576.549988,4863273
10-10-2019,566.049988,2156410
11-10-2019,560.099976,3133395
14-10-2019,568.650024,2630640
15-10-2019,583.400024,4967499
16-10-2019,584.25,2279203
17-10-2019,593.299988,3744228
18-10-2019,593.299988,2955289
22-10-2019,595.799988,3494913
23-10-2019,591.849976,2371317
24-10-2019,581.049988,2212393
25-10-2019,577.700012,2284548
27-10-2019,591.5,851951
29-10-2019,611.799988,6543163
30-10-2019,616.549988,4296705
31-10-2019,606.450012,4595842
01-11-2019,589.75,7558094
04-11-2019,586.400024,3128961
05-11-2019,580.150024,2653917
06-11-2019,579.799988,2763550
07-11-2019,580.349976,3279435
08-11-2019,580.0,8374614
11-11-2019,575.0,3492576
13-11-2019,574.700012,3342543
14-11-2019,578.450012,2193683
15-11-2019,583.049988,3063043
18-11-2019,573.700012,3212994
19-11-2019,560.650024,3208662
20-11-2019,560.450012,2876499
21-11-2019,551.799988,3346254
22-11-2019,546.0,2798026
25-11-2019,547.799988,3054435
26-11-2019,538.599976,4408905
27-11-2019,539.950012,6630809
28-11-2019,541.950012,2426425
29-11-2019,530.549988,3328894
02-12-2019,534.150024,4087250
03-12-2019,522.900024,3052238
04-12-2019,525.549988,2612985
05-12-2019,524.75,2332044
06-12-2019,510.200012,3409528
09-12-2019,513.650024,2566094
10-12-2019,505.75,2462096
11-12-2019,507.75,2148791
12-12-2019,511.899994,2994158
13-12-2019,516.200012,4066433
16-12-2019,508.850006,2346317
17-12-2019,505.850006,3521314
18-12-2019,522.650024,10092679
19-12-2019,535.400024,10732682
20-12-2019,530.599976,4746509
23-12-2019,525.900024,2963573
24-12-2019,527.5,2372038
26-12-2019,528.349976,4623580
27-12-2019,530.150024,3017840
30-12-2019,536.900024,4697710
31-12-2019,531.549988,2502181
01-01-2020,536.599976,2611808
02-01-2020,539.849976,2776519
03-01-2020,532.75,1930883
06-01-2020,524.5,2059404
07-01-2020,526.650024,2111349
08-01-2020,524.650024,1612378
09-01-2020,541.25,2897598
10-01-2020,546.599976,2355888
13-01-2020,554.950012,3442869
14-01-2020,562.5,2793249
15-01-2020,569.75,2564513
16-01-2020,567.450012,2243200
17-01-2020,569.299988,2646260
20-01-2020,567.200012,1847978
21-01-2020,552.799988,3101684
22-01-2020,553.599976,1862669
23-01-2020,566.5,2113303
24-01-2020,567.75,2284717
27-01-2020,578.299988,3654906
28-01-2020,572.5,3689004
29-01-2020,577.75,1934080
30-01-2020,567.849976,2901951
31-01-2020,567.150024,2352196
03-02-2020,558.700012,3818209
04-02-2020,576.900024,2793702
05-02-2020,584.349976,3320830
06-02-2020,580.150024,2207104
07-02-2020,569.099976,4083215
10-02-2020,528.400024,9648880
11-02-2020,524.049988,5404802
12-02-2020,531.0,3426829
13-02-2020,533.599976,3392352
14-02-2020,523.0,3507540
17-02-2020,522.75,2652464
18-02-2020,523.200012,2868873
19-02-2020,526.400024,1952880
20-02-2020,524.849976,2077458
24-02-2020,513.200012,1911411
25-02-2020,508.950012,2105613
26-02-2020,503.0,3058370
27-02-2020,493.5,6039260
28-02-2020,457.049988,8613275
02-03-2020,458.299988,9225488
03-03-2020,466.25,4582866
04-03-2020,474.649994,5912943
05-03-2020,479.299988,4081050
06-03-2020,471.0,4502562
09-03-2020,463.200012,4540694
11-03-2020,451.600006,5104905
12-03-2020,423.350006,9408350
13-03-2020,428.850006,6230411
16-03-2020,391.799988,3156508
17-03-2020,373.399994,4526913
18-03-2020,346.399994,6595508
19-03-2020,314.200012,10486153
20-03-2020,322.600006,8819518
23-03-2020,293.399994,6001358
24-03-2020,269.0,6690908
25-03-2020,277.850006,9393732
26-03-2020,285.5,7557558
27-03-2020,294.5,9505126
30-03-2020,274.399994,8942833
31-03-2020,284.950012,6236559
01-04-2020,272.850006,5980392
03-04-2020,280.700012,6961905
07-04-2020,321.0,10795407
08-04-2020,326.399994,8451195
09-04-2020,381.399994,11027315
13-04-2020,362.850006,7717484
15-04-2020,353.149994,11300538
16-04-2020,356.700012,6155773
17-04-2020,363.200012,6178483
20-04-2020,355.850006,4834154
21-04-2020,332.049988,8003757
22-04-2020,340.200012,9071476
23-04-2020,347.5,6738333
24-04-2020,334.299988,5754928
27-04-2020,330.299988,5770537
28-04-2020,335.950012,4244512
29-04-2020,348.0,7748491
30-04-2020,366.649994,7422465
04-05-2020,357.049988,7125034
05-05-2020,368.149994,13401536
06-05-2020,387.149994,7015473
07-05-2020,400.649994,12971483
08-05-2020,386.700012,9444781
11-05-2020,390.100006,7658595
12-05-2020,393.049988,4686856
13-05-2020,413.049988,7361621
14-05-2020,400.450012,4765875
15-05-2020,381.299988,14226503
18-05-2020,377.200012,7717665
19-05-2020,382.899994,5950003
20-05-2020,405.049988,10608175
21-05-2020,408.299988,6249309
22-05-2020,426.350006,10016203
26-05-2020,429.149994,5895376
27-05-2020,432.5,7591278
28-05-2020,440.399994,7449375
29-05-2020,436.350006,9539035
01-06-2020,461.100006,9668047
02-06-2020,462.850006,8520940
03-06-2020,485.100006,9873294
